name,url
โน๊ตบุ๊ค Acer Swift Lite 14 SFL14-51M-70X1 Pure Silver,https://www.bnn.in.th/th/p/notebook/thin-light-notebook/acer-thin-light-notebook/acer-notebook-swift-lite-14-sfl14-51m-70x1-silver-4711474136954_r67n0n?#ins_sr=eyJwcm9kdWN0SWQiOiI0NzExNDc0MTM2OTU0In0=
โน๊ตบุ๊ค Acer Swift Go 14 AI SFG14-01-X2XD Steel Gray,https://www.bnn.in.th/th/p/acer-notebook-swift-go-14-ai-sfg14-01-x2xd-gray-4711474176196_zomlmx?gad_source=1&gad_campaignid=19545959649&gbraid=0AAAAAC10cggXhKpvkjoI8-V5dl1JoH8UV&#ins_sr=eyJwcm9kdWN0SWQiOiI0NzExNDc0MTc2MTk2In0=
โน๊ตบุ๊ค HP Pavilion 16-ag0010AU Silver,https://www.bnn.in.th/th/p/notebook/thin-light-notebook/hp-thin-light-notebook/hp-notebook-pavilion-16-ag0010au-natural-silver-a-198122501632_z96vle?#ins_sr=eyJwcm9kdWN0SWQiOiIxOTgxMjI1MDE2MzIifQ==
โน๊ตบุ๊ค Dell Inspiron 5645 OIN5645300101GTH Ice Blue,https://www.bnn.in.th/th/p/dell-notebook-inspiron-5645-oin5645300101gth-ice-blue-a-oin5645300101gth-5645-ps-w_d1pg5y?gad_source=1&gad_campaignid=22716423016&gbraid=0AAAAAC10S9Bi86v7BGfeEux6MqkOcoLt-&#ins_sr=eyJwcm9kdWN0SWQiOiJPSU41NjQ1MzAwMTAxR1RILTU2NDUtUFMtVyJ9
โน๊ตบุ๊ค Acer Aspire 5 A515-48M-R0UT Steel Gray,https://www.bnn.in.th/th/p/notebook/thin-light-notebook/acer-thin-light-notebook/acer-notebook-aspire-5-a515-48m-r0ut-gray-a-4711121707209_d20173?#ins_sr=eyJwcm9kdWN0SWQiOiI0NzExMTIxNzA3MjA5In0=
โน๊ตบุ๊ค Lenovo IdeaPad Slim 3 14IAH8-83EQ004YTA Arctic Gray,https://www.bnn.in.th/th/p/notebook/thin-light-notebook/lenovo-thin-light-notebook/lenovo-notebook-ideapad-slim-3-14iah8-83eq004yta-arctic-grey-198153593774_d52em9?#ins_sr=eyJwcm9kdWN0SWQiOiIxOTgxNTM1OTM3NzQifQ==
โน๊ตบุ๊ค Lenovo IdeaPad Slim 3 15IRH8-83EM009RTA Gray,https://www.bnn.in.th/th/p/notebook/thin-light-notebook/lenovo-thin-light-notebook/lenovo-notebook-ideapad-slim-3i-15irh8-83em009rta-cloud-grey-198153706020_rqeq8v?#ins_sr=eyJwcm9kdWN0SWQiOiIxOTgxNTM3MDYwMjAifQ==
โน๊ตบุ๊ค Asus TUF Gaming A15 FA506NFR-HN005W Graphite Black,https://www.bnn.in.th/th/p/notebook/gaming-notebook/asus-gaming-notebook/asus-notebook-tuf-gaming-a15-fa506nfr-hn005w-graphite-black-a-4711387650530_dn3vg2?#ins_sr=eyJwcm9kdWN0SWQiOiI0NzExMzg3NjUwNTMwIn0=
โน๊ตบุ๊ค MSI Katana 17 B13VEK-1256TH Black,https://www.bnn.in.th/th/p/msi-notebook-katana-17-b13vek-1256th-black-9s7-17l541-1256_dxygvx?gad_source=1&gad_campaignid=19545959655&gbraid=0AAAAAC10cgijL1QxBwwCDSMPP7Bdd8a4u&#ins_sr=eyJwcm9kdWN0SWQiOiI5UzctMTdMNTQxLTEyNTYifQ==
โน๊ตบุ๊ค Asus TUF Gaming A15 FA507NUR-LP037W Gray,https://www.bnn.in.th/th/p/notebook/gaming-notebook/asus-gaming-notebook/asus-notebook-tuf-gaming-a15-fa507nur-lp037w-mecha-gray-a-4711387611265_zw3nxo?#ins_sr=eyJwcm9kdWN0SWQiOiI0NzExMzg3NjExMjY1In0=
โน๊ตบุ๊ค MSI Thin 15 B13UC-2415TH Cosmos Gray,https://www.bnn.in.th/th/p/msi-notebook-thin-15-b13uc-2415th-cosmos-gray-9s7-16r831-2415_d52312?#ins_sr=eyJwcm9kdWN0SWQiOiI5UzctMTZSODMxLTI0MTUifQ==
โน๊ตบุ๊ค Acer Nitro V 15 ANV15-51-5857 Obsidian Black,https://www.bnn.in.th/th/p/acer-notebook-nitro-v-15-anv15-51-5857-obsidian-black-4711474102348_z772vw?gad_source=1&gad_campaignid=19545959649&gbraid=0AAAAAC10cgjIs_zNSw1lJt-QaJYD1_AD9&#ins_sr=eyJwcm9kdWN0SWQiOiI0NzExNDc0MTAyMzQ4In0=
โน๊ตบุ๊ค Asus Vivobook S 15 OLED S5507QA-PU098WF Silver,https://www.bnn.in.th/th/p/notebook/thin-light-notebook/asus-thin-light-notebook/asus-notebook-vivobook-s-15-oled-s5507qa-pu098wf-silver-4711387703786_dlexym?#ins_sr=eyJwcm9kdWN0SWQiOiI0NzExMzg3NzAzNzg2In0=
